Name,Position,Duel%,Poss won,Prog carries,Fwd passes,Fwd pass%,Key passes,Prog passes
D. Rice,CM,75.7,36.8,95.1,85.7,70.4,74.3,86.4
B. Guimaraes,CM,42.1,38.7,59.9,84.2,54.0,71.0,84.3
M. Odegaard,CAM,0.7,0.7,94.2,87.1,37.9,99.3,93.7
B. Kamara,CDM,91.0,81.9,36.8,80.3,91.4,31.0,59.9
J. Gomes,CM,68.1,93.3,77.8,55.1,62.9,29.0,44.4
J. Manzambi,CAM,71.8,26.2,96.0,41.2,42.8,88.2,48.8
T. Adams,CDM,48.1,88.6,36.8,75.2,66.2,12.3,33.3
A. Scott,CM,66.9,78.2,71.0,34.5,18.8,35.2,29.2
J. Kluivert,CAM,2.5,4.2,86.1,6.3,31.0,81.5,29.8
M. Sangare,CDM,90.3,93.7,46.7,76.8,70.8,63.2,70.8
Y. Yarmoliuk,CM,62.9,92.4,22.7,54.0,42.6,12.3,63.0
M. Damsgaard,CAM,22.9,52.1,76.2,68.5,22.9,87.0,88.4
C. Baleba,CDM,85.9,87.3,46.1,11.3,9.5,15.0,9.0
P. Gross,CM,26.9,36.1,66.5,81.3,54.4,97.2,89.4
M. O'Riley,CAM,8.0,9.4,36.9,16.0,58.5,92.9,41.1
M. Caicedo,CDM,82.9,77.1,26.8,87.0,89.1,35.2,78.7
E. Fernandez,CM,22.4,9.3,73.8,82.7,53.7,80.5,86.4
C. Palmer,CAM,31.5,6.3,96.7,24.8,22.4,66.4,39.6
A. Wharton,CM,66.7,63.7,34.3,69.7,28.3,95.4,92.4
D. Kamada,CM,49.3,58.5,66.2,45.2,39.8,48.4,54.4
Y. Pino,CAM,2.8,25.2,68.7,26.4,12.9,97.0,44.0
C. Norgaard,CDM,56.9,79.1,2.0,68.4,43.3,30.5,55.3
J. Garner,CM,100.0,97.0,39.8,82.9,71.8,77.3,71.8
S. Berge,CDM,80.6,43.3,64.4,65.1,85.0,39.4,51.4
E. Smith Rowe,CAM,15.3,9.5,49.8,46.5,96.0,37.0,17.1
E. Ampadu,CDM,94.4,81.2,47.4,64.4,59.3,15.0,56.2
A. Stach,CM,85.2,80.8,71.7,26.1,7.9,77.3,32.0
R. Gravenberch,CDM,83.5,58.1,81.0,83.3,79.9,50.5,49.1
A. Mac Allister,CM,39.8,59.9,57.4,64.8,55.5,44.2,53.0
F. Wirtz,CAM,8.6,11.4,79.0,59.5,59.0,90.1,76.4
E. Anderson,CM,68.7,92.3,51.8,94.7,77.1,66.4,95.4
R. Cherki,CAM,19.7,2.6,99.8,71.3,72.2,100.0,85.0
A. Santos,CDM,98.6,77.5,18.8,87.7,98.8,5.5,63.2
Y. Tielemans,CM,80.8,56.3,41.2,85.4,45.4,76.4,81.3
B. Fernandes,CAM,27.8,24.6,81.9,87.7,40.8,99.8,97.2
Joelinton,CM,40.7,51.1,51.4,18.8,71.1,18.8,17.1
J. Ramsey,CM,50.5,22.4,73.8,17.4,62.3,75.4,18.8
X. Schlager,CDM,68.8,39.3,87.0,54.0,77.8,50.5,70.6
I. Sangare,CM,72.9,86.4,12.5,66.7,78.9,18.8,59.0
M. Gibbs-White,CAM,7.0,6.2,87.3,28.9,49.8,82.6,27.8
N. Sadiki,CDM,65.5,46.3,58.3,25.5,45.1,39.4,21.0
G. Xhaka,CM,83.8,69.7,51.8,86.3,57.0,55.5,88.0
E. Le Fee,CAM,22.5,76.8,49.3,20.6,43.7,93.0,37.9
S. Tonali,CDM,74.5,46.8,68.1,73.1,37.3,48.4,67.6
M. Fernandes,CM,82.4,83.5,58.3,60.4,74.5,55.5,64.6
J. Maddison,CAM,54.1,13.1,68.3,89.9,80.1,95.9,88.1
