Name,Position,Prog carries,Dribbles cmp,NPG,npxG + xA,Assists,Key passes,Crosses cmp
B. Saka,RW,83.1,94.1,65.3,95.7,88.8,97.1,89.3
A. Garnacho,LW,97.4,91.7,10.5,73.6,88.8,93.6,90.3
Rayan,LW,77.2,73.4,91.9,59.1,59.6,63.9,49.4
K. Schade,LW,24.9,18.8,69.4,79.8,37.5,44.7,7.8
D. Ouattara,RW,36.8,71.7,72.4,76.0,44.4,29.9,53.0
K. Mitoma,LW,81.9,68.4,40.6,27.3,41.1,72.7,62.2
Y. Minteh,RW,69.1,88.1,28.0,48.9,56.1,82.4,96.7
P. Neto,LW,88.4,83.1,46.8,76.0,72.0,83.8,83.6
D. McNeil,LW,13.3,17.1,0.2,22.6,24.2,5.9,58.9
I. Sarr,RW,38.2,17.8,65.3,48.9,11.6,25.4,14.7
I. Ndiaye,LW,70.8,69.4,32.8,38.0,37.5,53.0,28.5
B. Johnson,RW,22.1,31.8,24.9,17.1,15.4,51.5,64.8
Kevin,LW,91.0,90.3,17.8,41.6,0.2,62.5,95.0
O. Bobb,RW,63.9,50.1,0.2,27.3,59.6,63.9,21.1
C. Gakpo,LW,68.4,68.9,62.9,83.4,46.8,67.0,29.2
V. Muñoz,RW,92.4,89.3,57.2,59.1,37.5,36.6,77.2
J. Doku,LW,100.0,100.0,67.2,64.6,82.7,98.6,88.8
A. Semenyo,RW,69.8,61.5,94.5,67.7,15.4,32.5,27.6
M. Cunha,LW,82.2,67.0,87.4,61.5,24.2,41.1,41.8
B. Mbeumo,RW,26.6,37.5,89.1,92.2,37.5,75.3,62.9
A. Elanga,RW,47.7,63.4,0.2,12.4,19.7,60.1,84.8
H. Barnes,LW,72.9,58.0,80.3,67.7,11.6,68.9,80.3
C. Hudson-Odoi,LW,88.6,81.7,40.6,38.0,56.1,89.1,91.4
D. Ndoye,RW,67.0,63.9,14.3,7.4,24.2,21.6,73.2
C. Talbi,RW,47.0,50.8,62.9,12.4,15.4,5.9,40.4
M. Tel,LW,78.4,79.1,67.2,76.0,19.7,21.6,86.7
M. Kudus,RW,78.6,88.8,30.4,53.0,91.2,80.8,96.2
Savinho,RW,98.2,95.9,9.5,88.0,89.3,82.8,87.3
