Name,Passes cmp,Fwd pass%,Prog passes,Poss won,Def duel%,Aerial duel%,Prog carries
Gabriel,57.8,47.6,47.1,7.3,43.1,64.7,74.4
W. Saliba,92.9,94.7,54.9,5.3,76.7,45.6,55.6
P. Torres,60.9,66.7,76.2,6.0,89.8,65.1,92.7
V. Lindelof,64.9,97.8,7.1,2.2,66.2,86.0,72.9
A. Silva,80.2,76.2,98.2,38.0,82.9,60.7,96.9
B. Diakite,41.8,64.7,60.7,66.7,98.0,16.7,28.2
N. Collins,40.0,32.7,53.6,37.1,85.8,42.0,74.4
K. Ajer,5.3,8.0,5.3,60.9,86.7,24.4,69.1
P. Struijk,55.6,67.3,48.7,57.8,55.8,38.2,34.0
L. Vuskovic,46.2,4.7,41.3,73.3,80.9,82.7,84.2
L. Colwill,84.7,61.3,72.3,14.9,59.5,73.6,41.0
M. Lacroix,38.9,25.1,30.9,89.3,90.2,70.7,23.6
C. Richards,29.6,28.7,33.8,86.4,73.1,61.1,26.9
J. Tarkowski,9.6,16.2,58.7,48.0,78.0,74.7,29.8
J. Andersen,83.6,34.0,87.8,54.7,43.1,88.7,62.9
C. Bassey,56.2,38.0,50.4,61.8,91.8,30.7,90.9
J. Rodon,28.0,62.4,22.2,21.3,62.2,44.0,22.7
J. Bijol,28.7,12.7,31.6,64.2,59.6,20.9,48.7
V. van Dijk,84.9,81.8,92.2,1.6,69.1,96.7,64.4
J. Gvardiol,87.1,74.9,87.6,4.7,30.4,52.7,96.2
R. Dias,93.1,96.2,72.0,3.6,94.0,83.6,91.8
L. Martinez,81.6,83.6,94.9,47.1,88.9,5.6,97.3
L. Yoro,42.7,80.2,46.4,18.2,15.3,40.0,91.8
S. Botman,60.2,88.4,25.3,49.6,95.6,77.8,0.7
M. Thiaw,40.4,83.8,67.6,18.2,48.9,73.8,59.8
Murillo,24.2,24.4,66.2,60.4,66.9,23.1,36.2
N. Milenkovic,19.6,47.3,22.0,16.0,89.6,76.0,9.6
D. Ballard,16.9,10.2,38.4,20.2,11.3,33.3,79.6
J. van Hecke,86.0,76.9,98.7,48.7,78.4,41.1,99.1
M. van de Ven,40.9,75.6,22.9,2.9,20.4,36.7,50.2
M. Senesi,53.3,6.2,99.8,97.3,51.8,9.1,89.8
