Name,Position,Crosses cmp,xA,Prog passes,Poss won,Def duel%,Aerial duel%,Prog carries
R. Calafiori,LB,3.0,23.4,15.7,8.7,1.2,35.8,57.9
J. Timber,RB,6.5,23.4,54.4,44.4,88.0,90.3,41.1
I. Maatsen,LB,31.9,63.3,13.0,92.8,35.2,58.6,84.0
M. Cash,RB,47.1,46.6,50.9,45.4,4.7,82.8,25.2
A. Truffert,LB,87.3,31.9,68.1,96.8,79.3,23.9,67.3
J. Sánchez,RB,77.1,73.1,66.3,45.6,82.5,47.6,79.3
R. Henry,LB,5.5,2.5,12.2,67.6,86.3,25.4,47.9
M. Kayode,RB,23.4,68.8,8.0,49.1,24.2,68.1,67.3
M. De Cuyper,LB,87.8,97.8,63.1,7.2,32.7,4.2,30.7
R. James,RB,59.1,89.8,82.3,30.7,87.3,98.0,23.9
T. Mitchell,LB,60.8,54.4,20.4,85.3,96.5,35.7,39.7
D. Muñoz,RB,72.3,81.3,16.7,56.4,22.2,40.9,8.7
V. Mykolenko,LB,67.6,16.0,82.8,50.9,26.4,66.8,19.7
A. Robinson,LB,91.3,54.4,93.5,93.8,46.1,29.4,89.8
T. Castagne,RB,85.3,16.0,25.7,55.9,15.5,34.2,26.2
K. Tete,RB,52.6,31.9,47.9,89.0,71.1,67.3,19.7
G. Gudmundsson,LB,81.5,63.3,27.2,72.3,61.6,51.9,80.3
J. Justin,RB,13.9,4.1,14.4,91.5,65.0,50.1,16.2
M. Kerkez,LB,49.4,23.4,32.4,20.0,21.4,80.3,54.6
N. O'Reilly,LB,18.0,31.9,11.5,47.6,12.7,41.9,82.8
M. Nunes,RB,41.6,31.9,69.8,68.3,99.8,84.8,80.0
P. Dorgu,LB,79.1,87.8,4.5,74.3,62.6,61.8,74.3
D. Dalot,RB,59.9,73.1,59.4,28.9,20.7,97.5,39.2
L. Hall,LB,33.2,63.3,83.8,81.5,70.8,56.1,67.3
T. Livramento,RB,54.6,46.6,53.1,13.0,61.6,49.6,59.9
O. Aina,RB,25.2,9.0,39.4,66.8,78.8,89.5,50.9
N. Williams,LB,69.1,54.4,41.4,91.0,39.7,75.6,70.8
Reinildo,LB,5.5,2.5,19.5,72.8,46.9,83.5,29.4
T. Hume,RB,7.7,38.7,28.9,56.1,24.2,34.4,6.7
A. Robertson,LB,90.8,54.4,95.8,7.5,63.3,73.6,74.6
P. Porro,RB,92.8,81.3,97.5,85.5,57.4,30.2,66.6
D. Udogie,LB,17.5,16.0,13.2,54.9,99.5,14.0,68.3
