Name,Save%,Aerials won,Int (PAdj),Passes cmp,Long%,Short%,PSxG-GA
Alisson,18.2,9.7,89.6,66.2,55.2,14.9,38.3
E. Martínez,75.3,94.2,50.6,84.4,42.2,66.9,88.3
David Raya,67.5,48.1,54.5,50.6,83.1,22.1,67.5
D. Petrović,41.6,87.0,41.6,10.4,12.3,32.5,42.2
C. Kelleher,63.6,20.8,46.8,59.7,81.8,59.1,59.1
B. Verbruggen,59.7,61.7,46.8,90.3,5.2,80.5,55.2
Robert Sánchez,42.9,80.5,66.9,78.6,8.4,16.2,87.0
D. Henderson,40.9,87.0,36.4,15.6,31.8,53.9,73.4
B. Leno,25.3,98.1,43.5,80.5,73.4,70.1,16.2
J. Pickford,56.5,55.2,53.9,42.2,37.0,75.3,60.4
G. Donnarumma,87.7,94.2,29.9,29.9,31.2,53.9,92.9
S. Lammens,30.5,34.4,11.0,16.9,43.5,16.9,62.3
M. Sels,75.3,20.8,3.9,9.1,89.6,65.6,46.1
R. Roefs,69.5,92.9,37.7,58.4,23.4,84.4,70.8
