Name,NPG,npxG,Goal conv%,Aerial%,Touches in box,xA,Off duels won
V. Gyökeres,73.0,60.3,93.3,20.9,67.4,42.2,45.4
O. Watkins,83.7,90.1,71.3,52.8,78.4,42.2,58.5
Evanilson,21.6,63.5,16.3,44.3,76.2,42.2,19.9
Igor Thiago,66.0,63.5,94.3,43.3,37.6,33.0,21.6
G. Rutter,14.9,10.6,13.1,41.1,25.5,90.8,90.1
João Pedro,81.6,69.9,83.3,52.5,58.5,59.2,85.5
J. Mateta,51.8,79.1,72.3,53.9,18.8,26.2,36.9
T. Barry,64.2,67.7,78.7,79.4,27.7,14.5,6.0
Gonzalo García,84.8,24.5,97.9,73.0,57.8,66.7,2.1
D. Calvert-Lewin,51.8,81.9,77.0,42.2,39.0,14.5,14.2
H. Ekitiké,86.2,69.9,61.0,27.3,92.2,66.7,66.7
A. Isak,91.0,87.8,85.5,22.7,92.2,76.1,24.3
E. Haaland,96.5,99.3,82.6,100.0,84.4,42.2,6.7
B. Šeško,90.1,93.6,66.7,93.3,60.6,0.4,10.3
Y. Wissa,86.7,82.4,77.3,85.5,72.9,27.1,54.5
Igor Jesus,21.6,37.6,17.4,50.7,47.2,59.2,57.8
B. Brobbey,51.8,50.7,67.4,47.2,27.7,33.0,61.7
D. Solanke,36.9,37.6,57.8,28.7,43.6,8.5,38.3
